country_of_origin,destination_country,destination_city,year,count,gender,age_group
Bangladesh,South Africa,Johannesburg,2019,1481,Female,18-22
Kenya,Australia,Melbourne,2018,4431,Female,23-26
Turkey,UAE,Dubai,2021,1045,Female,27+
India,Japan,Kyoto,2021,6760,Female,27+
China,UAE,Dubai,2018,1657,Female,23-26
Pakistan,Canada,Vancouver,2023,3827,Male,18-22
Nepal,Japan,Tokyo,2018,1936,Female,27+
Turkey,Ireland,Galway,2018,690,Female,18-22
Turkey,Finland,Helsinki,2020,611,Male,18-22
Bangladesh,Canada,Vancouver,2023,5159,Non-binary,18-22
China,Sweden,Gothenburg,2015,2526,Female,18-22
Turkey,Italy,Milan,2023,2337,Male,23-26
Brazil,Finland,Turku,2021,656,Male,23-26
Vietnam,Italy,Milan,2017,2502,Male,23-26
Kenya,India,Bangalore,2018,822,Female,18-22
India,Singapore,Singapore,2020,4899,Female,18-22
Vietnam,Sweden,Gothenburg,2016,1138,Non-binary,23-26
India,USA,Boston,2020,15168,Male,23-26
Turkey,Finland,Helsinki,2020,612,Female,23-26
Brazil,UK,Manchester,2017,3534,Female,23-26
Kenya,Singapore,Singapore,2020,1650,Male,23-26
Vietnam,UAE,Dubai,2021,822,Female,18-22
Vietnam,India,Mumbai,2017,1066,Male,18-22
Nigeria,Italy,Florence,2024,4147,Female,18-22
Kenya,UAE,Dubai,2019,1090,Female,18-22
Vietnam,Ireland,Dublin,2020,872,Male,18-22
Vietnam,Russia,St. Petersburg,2023,2230,Female,23-26
Vietnam,Japan,Kyoto,2018,2694,Female,18-22
Pakistan,UAE,Abu Dhabi,2022,937,Female,18-22
Brazil,USA,New York,2017,5912,Female,18-22
Pakistan,Netherlands,Amsterdam,2015,1190,Female,23-26
Nigeria,France,Paris,2022,5283,Female,18-22
Nigeria,Italy,Florence,2018,2369,Female,18-22
Pakistan,South Korea,Seoul,2018,2004,Female,18-22
India,Ireland,Galway,2017,2115,Female,27+
Kenya,UAE,Abu Dhabi,2019,911,Female,23-26
Pakistan,Russia,St. Petersburg,2024,2045,Male,18-22
Brazil,USA,Los Angeles,2015,4861,Male,18-22
Nigeria,Norway,Oslo,2017,1895,Female,18-22
India,South Africa,Pretoria,2016,3397,Male,27+
Pakistan,UAE,Abu Dhabi,2022,1204,Female,23-26
Brazil,Canada,Montreal,2018,3373,Female,23-26
China,South Africa,Johannesburg,2019,2903,Female,18-22
Bangladesh,India,Delhi,2022,1036,Female,18-22
Brazil,Germany,Hamburg,2016,2443,Female,23-26
Nigeria,UK,Birmingham,2024,7761,Male,23-26
Turkey,Sweden,Uppsala,2018,1564,Female,18-22
Kenya,Canada,Montreal,2017,2461,Male,23-26
Nepal,South Africa,Cape Town,2022,1667,Female,23-26
Nigeria,Finland,Turku,2024,1064,Female,18-22
Kenya,India,Delhi,2018,1177,Male,23-26
Kenya,Russia,St. Petersburg,2023,2654,Female,23-26
Kenya,Singapore,Singapore,2015,1940,Male,18-22
Vietnam,France,Paris,2024,3084,Male,18-22
Nepal,Norway,Bergen,2022,1501,Male,18-22
Brazil,France,Lyon,2024,4612,Male,18-22
Kenya,France,Lyon,2015,3221,Male,18-22
India,UK,Manchester,2018,10357,Female,18-22
Nepal,Russia,Kazan,2019,2338,Male,18-22
Brazil,UK,London,2024,4949,Male,23-26
Nigeria,UAE,Sharjah,2022,1777,Female,23-26
Nigeria,Germany,Frankfurt,2018,4680,Male,27+
Nigeria,USA,Los Angeles,2019,8128,Female,23-26
Kenya,South Africa,Johannesburg,2016,1337,Male,23-26
Brazil,Spain,Barcelona,2020,1584,Female,23-26
Nigeria,Russia,Moscow,2019,3088,Male,18-22
Pakistan,South Africa,Cape Town,2024,1839,Female,23-26
Vietnam,South Africa,Cape Town,2022,1744,Female,18-22
Brazil,Germany,Frankfurt,2022,3629,Male,27+
China,Netherlands,Rotterdam,2022,3941,Female,18-22
Brazil,France,Paris,2016,2122,Female,18-22
Nepal,Norway,Bergen,2020,1323,Female,18-22
India,France,Marseille,2024,10158,Male,18-22
Vietnam,UAE,Dubai,2017,895,Male,18-22
Nepal,South Africa,Cape Town,2024,1957,Male,23-26
Brazil,Netherlands,Eindhoven,2015,1143,Male,18-22
Pakistan,Norway,Trondheim,2019,1379,Male,18-22
Vietnam,UK,Manchester,2018,3938,Male,23-26
Nigeria,India,Bangalore,2024,2388,Female,23-26
China,Germany,Berlin,2020,6695,Female,18-22
Turkey,Sweden,Uppsala,2024,1810,Male,23-26
Pakistan,Finland,Helsinki,2020,622,Female,27+
Turkey,Canada,Vancouver,2021,4451,Male,18-22
Nepal,Italy,Florence,2017,1725,Female,18-22
Pakistan,South Africa,Cape Town,2015,996,Male,18-22
Brazil,Singapore,Singapore,2020,1656,Female,18-22
Nepal,South Korea,Daejeon,2022,2719,Female,23-26
Turkey,Norway,Oslo,2017,1109,Male,23-26
China,India,Mumbai,2023,2639,Male,18-22
Pakistan,India,Mumbai,2024,1334,Female,18-22
Pakistan,India,Delhi,2017,1257,Female,23-26
Nepal,Italy,Rome,2023,2070,Female,27+
Pakistan,Italy,Milan,2023,2780,Male,23-26
Brazil,Germany,Hamburg,2020,3120,Female,18-22
Brazil,UK,London,2019,6280,Female,18-22
Bangladesh,Singapore,Singapore,2016,1640,Male,23-26
Bangladesh,Finland,Helsinki,2015,626,Female,23-26
Nigeria,South Africa,Johannesburg,2020,2251,Female,23-26
Brazil,South Korea,Busan,2016,1381,Female,18-22
Bangladesh,Finland,Tampere,2018,521,Female,23-26
Nigeria,Sweden,Stockholm,2016,2165,Male,23-26
India,UAE,Sharjah,2024,3047,Male,18-22
Nepal,South Africa,Johannesburg,2021,1281,Female,18-22
China,Italy,Milan,2023,5276,Female,23-26
Nepal,France,Marseille,2022,4233,Male,23-26
Brazil,Australia,Melbourne,2015,1946,Female,18-22
Kenya,South Korea,Daejeon,2024,3489,Male,23-26
Vietnam,France,Marseille,2016,2831,Female,23-26
India,Russia,Kazan,2024,4885,Female,18-22
Pakistan,Germany,Munich,2018,2747,Male,18-22
China,Finland,Tampere,2020,1408,Male,18-22
Nigeria,Australia,Melbourne,2023,6203,Female,18-22
Nepal,Sweden,Uppsala,2017,1248,Male,27+
Pakistan,Singapore,Singapore,2020,2222,Male,18-22
Brazil,Canada,Toronto,2015,2787,Male,18-22
Vietnam,Japan,Osaka,2018,1667,Female,18-22
Kenya,UAE,Dubai,2020,1173,Male,18-22
India,Canada,Toronto,2023,10636,Female,18-22
Brazil,Russia,Kazan,2015,1926,Male,27+
Kenya,Japan,Osaka,2024,3050,Male,23-26
Pakistan,India,Mumbai,2020,1026,Female,18-22
Pakistan,UAE,Sharjah,2020,775,Female,18-22
Turkey,India,Delhi,2018,856,Female,18-22
Kenya,USA,Los Angeles,2023,7883,Female,23-26
Bangladesh,Netherlands,Amsterdam,2016,1319,Female,18-22
Nepal,UK,Birmingham,2018,4811,Male,27+
Nepal,South Korea,Seoul,2018,2339,Male,23-26
Pakistan,Australia,Sydney,2021,3742,Male,18-22
India,Finland,Turku,2024,1859,Male,18-22
Brazil,Italy,Rome,2024,2553,Male,23-26
India,USA,Chicago,2019,15518,Male,18-22
Nepal,South Africa,Johannesburg,2018,1245,Male,18-22
Turkey,USA,Chicago,2015,5169,Female,23-26
Bangladesh,Singapore,Singapore,2019,1967,Male,23-26
India,USA,Chicago,2017,12821,Female,18-22
Bangladesh,France,Lyon,2015,3097,Male,18-22
India,Australia,Sydney,2017,9080,Male,23-26
Vietnam,Netherlands,Rotterdam,2022,2134,Male,18-22
Kenya,Italy,Milan,2023,2932,Male,18-22
India,India,Bangalore,2017,2415,Female,18-22
China,France,Marseille,2019,6720,Male,18-22
India,South Africa,Johannesburg,2019,3690,Male,18-22
Pakistan,UK,London,2021,4956,Male,18-22
Vietnam,Ireland,Dublin,2024,996,Female,27+
Turkey,France,Marseille,2016,3893,Female,18-22
Turkey,Italy,Milan,2024,2983,Male,23-26
